state,year,dr_customers,dr_energy_savings_mwh,dr_potential_peak_mw,dr_actual_peak_mw,dr_customer_incentives_kusd,dr_other_costs_kusd,summer_peak_mw,winter_peak_mw,sales_to_ultimate_customers_mwh,sales_total_revenue_kusd,sales_total_mwh,sales_total_customers,summer_peak_per_mwh,winter_peak_per_mwh,dr_actual_peak_share_of_summer_peak,dr_potential_peak_share_of_summer_peak,log_sales_total_mwh,log_summer_peak_mw,log_dr_actual_peak_mw
NE,2020,65319.0,608.568,628.088,366.984,5899.24,1482.941,,,,2796998.8,31171536.0,1082840.0,,,,,17.255015928681463,,5.90531825037396
NE,2021,68542.0,4819.866,737.402,381.842,5856.197,1592.4009999999998,,,,2857937.2,32341170.0,1090244.0,,,,,17.29185158956643,,5.94500691047986
NE,2022,71622.0,9655.201,633.304,418.549,7015.558999999999,1738.451,10078.8,7683.900000000001,27984309.0,2989152.0999999996,33844105.0,1099867.0,0.00029780075437066514,0.00022703806172448646,0.04152766202325674,0.06283525816565465,17.337275391491872,9.21818948691958,6.0367939679023985
NE,2023,77105.0,15418.948,694.86,485.66999999999996,6714.838,2428.8360000000002,10777.2,7074.200000000001,28418852.0,3069592.1,33571199.0,1117487.0,0.0003210251739891685,0.00021072229204563116,0.04506458078165014,0.06447500278365438,17.329179084731866,9.285188070464905,6.185529380921524
NH,2015,8559.0,8.0,52.0,52.0,0.0,0.0,,,,1761971.7,16047495.0,839745.0,,,,,16.591063320593012,,3.9512437185814275
NH,2016,,,,,,,,,,1707204.1,16430366.0,854058.0,,,,,16.614641766089136,,
NH,2017,5500.0,6.0,40.0,5.2,310.0,3.0,,,,1744272.2,16463490.0,882741.0,,,,,16.616655759899796,,1.6486586255873816
NH,2018,5500.0,6.0,40.0,5.2,307.0,0.0,,,,1879514.1,16763210.0,884212.0,,,,,16.634697162125473,,1.6486586255873816
NH,2019,3133.0,6.3,43.933,1.3,238.18,220.662,,,,1837537.0,16142146.0,875570.0,,,,,16.59694417355359,,0.26236426446749106
NH,2020,5786.0,5.5,2.6,5.566000000000001,497.562,234.275,,,,1778660.4000000001,15822083.0,871061.0,,,,,16.576917180409914,,1.7166766631036992
NH,2021,5717.0,4.158,2.6,10.959999999999999,387.085,666.717,,,,1887957.7,15961633.0,866813.0,,,,,16.585698463047517,,2.3942522815198695
NH,2022,6708.0,4.432,5.8420000000000005,13.497,653.04,297.51199999999994,2456.5,1932.4,5906158.0,2279091.2,15782324.0,870178.0,0.00015564881319126385,0.00012244077614931742,0.005494402605332791,0.0023781803378790964,16.574401137569787,7.806492851608703,2.602467438527145
NH,2023,6188.0,6.067,5.0120000000000005,11.534,711.658,404.36199999999997,2299.4,1899.1,5043091.0,2440522.4,16494764.0,953198.0,0.00013940181259944066,0.00011513350539601536,0.005016091154214143,0.0021796990519265896,16.6185535551766,7.7404034983196395,2.445299195193221
NJ,2015,170283.0,206.0,146.60000000000002,67.9,1306.0,3844.0,,,,10369831.9,111298637.0,4568676.0,,,,,18.527727569989295,,4.21803603456465
NJ,2016,165462.0,205.0,143.3,51.2,1190.0,3018.0,,,,10081522.1,111507740.0,4630748.0,,,,,18.529604563495553,,3.9357395320454622
NJ,2017,144336.0,612.0,119.5,51.0,989.0,773.0,,,,9777072.4,109237880.0,4712200.0,,,,,18.50903844757077,,3.9318256327243257
NJ,2018,136988.0,613.0,128.3,62.3,8.0,2273.0,,,,10057439.9,111614630.0,4672300.0,,,,,18.530562692509488,,4.131961425793407
NJ,2019,43558.0,612.0,52.6,52.6,15.0,1171.208,,,,9922178.7,107389818.0,4674339.0,,,,,18.491975931075537,,3.9627161197436642
NJ,2020,39752.0,0.0,48.0,48.0,0.0,116.0,,,,9816347.0,103398781.0,4722745.0,,,,,18.45410373080083,,3.871201010907891
NJ,2021,,,,,,,,,,10235027.5,103703249.0,4664702.0,,,,,18.45704400347077,,
NJ,2022,18548.0,7.68,1.33,1.33,195.473,13.26,13627.2,8722.4,34248362.0,11020878.1,103256218.0,4605810.0,0.00013197461871012942,8.447336314409656e-05,9.759891980744394e-05,9.759891980744394e-05,18.45272401075239,9.519823074386817,0.28517894223366247
NJ,2023,30188.0,35.129999999999995,14.73,14.73,196.649,13.952,12799.5,8376.2,33517044.0,10855652.9,97494689.0,4575195.0,0.00013128407435609134,8.591442350259716e-05,0.0011508262041485997,0.0011508262041485997,18.395308462689563,9.45716138664475,2.689886230474539
NM,2015,39967.0,1400.0,68.0,54.5,2602.0,5349.0,,,,2222640.6,23093553.0,1022426.0,,,,,16.955064045629815,,3.9982007016691985
NM,2016,46095.0,1710.0,64.89999999999999,60.9,2512.0,4899.0,,,,2100938.6,23039547.0,1027969.0,,,,,16.95272273214034,,4.109233174715851
NM,2017,46704.0,430.0,68.7,64.9,2086.0,4217.0,,,,2207689.4,23009584.0,1033588.0,,,,,16.951421382752073,,4.1728476237100445
NM,2018,48721.0,1068.0,68.3,58.099999999999994,2284.0,4622.0,,,,2249649.3,24048611.0,1043075.0,,,,,16.995587798170423,,4.062165663857866
NM,2019,49037.0,324.123,65.813,44.173,2509.465,4930.219,,,,2235999.3,24880134.0,1049502.0,,,,,17.02958021167284,,3.788113742704326
NM,2020,47028.0,1253.0,65.3,51.4,2733.0,4432.0,,,,2312890.5,24777155.0,1060780.0,,,,,17.025432617243148,,3.9396381724611196
NM,2021,58415.0,746.1,88.606,54.6,152.0,7360.0,,,,2487264.3000000003,25393743.0,1070078.0,,,,,17.050013363059755,,4.000033882750859
NM,2022,63075.0,819.9,78.33,53.62,460.0,7792.0,3215.1,2487.5,15851760.0,2721639.6,27156178.0,1077529.0,0.00011839294911088003,9.159978256144882e-05,0.016677552797735685,0.024363161332462444,17.117115129103066,8.07561374038706,3.981922132807813
NM,2023,68342.0,490.8,97.7,55.5,98.0,9001.0,3199.2,2541.7000000000003,16025877.0,2685307.3,28347490.0,1085187.0,0.00011285655273182916,8.966225933936304e-05,0.01734808702175544,0.0305388847211803,17.160049048063275,8.07065605753261,4.0163830207523885
